,Zip Code,Geographic Area Name,Total,Population over 65,Occupied housing units,Total,Median income (dollars),Mean income (dollars),Male population,Female population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,HISPANIC OR LATINO
205,91210,91210,328,9,228,228,135741,168220,308,221,366,10,0,141,0,529
206,91214,91214,30356,4995,10357,10357,104981,127997,14687,16100,19065,131,14,8788,22,30787
207,91301,91301,25488,4322,9295,9295,124012,181113,12929,13405,21756,718,7,1934,0,26334
208,91302,91302,25709,4876,9488,9488,133996,224281,12940,13772,22476,318,211,2200,0,26712
209,91303,91303,26855,2335,10097,10097,61250,77582,15906,15680,14808,967,141,3687,11,31586
210,91304,91304,50231,7532,17508,17508,70505,96794,26904,27457,26992,2709,133,8346,57,54361
211,91306,91306,45061,6260,14654,14654,69917,86522,24715,24963,21784,1983,176,8293,130,49678
212,91307,91307,24474,4482,8650,8650,120474,150111,12896,13445,18568,995,101,4389,3,26341
213,91311,91311,36557,7423,14283,14283,91897,116153,20289,20550,25622,2159,191,6502,95,40839
214,91316,91316,26898,5381,12409,12409,76978,114634,14136,16363,25595,806,6,2393,0,30499
215,91320,91320,44274,7149,14971,14971,118986,150243,22326,22642,36682,632,71,5531,10,44968
216,91321,91321,34882,4657,10781,10781,73187,96284,16896,17118,24625,1019,266,2723,55,34014
217,91324,91324,27669,4905,10012,10012,80260,102937,15959,13711,16090,1507,104,5614,79,29670
218,91325,91325,32417,4711,11920,11920,71400,99168,16614,17961,18638,2489,57,5477,53,34575
219,91326,91326,33708,7688,12778,12778,117590,146708,18047,18292,18622,1895,136,12176,20,36339
220,91330,91330,2702,0,0,0,-,-,1250,2007,1555,491,0,605,23,3257
221,91331,91331,103689,10962,23447,23447,63807,79356,52761,52697,62078,3228,643,5412,56,105458
222,91335,91335,74363,10421,24391,24391,63748,83683,40184,41640,44042,3567,724,10079,175,81824
223,91340,91340,34188,3982,8886,8886,57398,74010,17781,18375,23528,538,284,607,6,36156
224,91342,91342,91725,11582,25121,25121,74050,87775,46949,47646,71067,3645,617,5044,32,94595
225,91343,91343,60254,6956,18035,18035,66661,88520,32289,34454,26226,2998,189,10067,134,66743
226,91344,91344,51747,9389,17037,17037,96162,118496,27002,26611,33631,1986,340,9575,53,53613
227,91345,91345,18496,2901,5402,5402,77273,89107,9652,9493,8696,190,156,2030,253,19145
228,91350,91350,33348,4305,11402,11402,117707,129627,18209,17964,26950,1149,198,4319,81,36173
229,91351,91351,32362,3469,10076,10076,81758,98320,16406,16305,23095,1110,450,2984,4,32711
230,91352,91352,47807,5904,12436,12436,57145,75344,23219,23857,32184,807,201,2419,17,47076
231,91354,91354,28722,3200,10444,10444,128308,151516,15864,16680,22424,1311,187,5911,8,32544
232,91355,91355,32605,4729,11709,11709,95696,114928,15527,14999,22243,1098,66,3295,18,30526
233,91356,91356,29458,6084,11802,11802,76929,130602,14483,15339,23164,2101,49,1735,6,29822
235,91361,91361,20438,5136,8556,8556,119303,189511,9622,10636,17562,379,68,1295,0,20258
236,91362,91362,36045,7248,13519,13519,117566,163157,17697,18907,30263,549,222,3471,27,36604
237,91364,91364,25851,5297,10648,10648,106225,148145,13825,14146,21836,1584,146,1904,0,27971
238,91367,91367,39499,7402,18433,18433,96085,128000,21723,24247,33188,1932,90,6427,61,45970
241,91381,91381,20158,1851,6554,6554,135357,165908,9651,9739,11519,760,76,4880,0,19390
242,91384,91384,29855,2415,7091,7091,112122,126841,17228,11984,19974,1806,529,2259,94,29212
243,91387,91387,40328,4072,12815,12815,98371,117766,20726,21308,27680,2551,470,4180,22,42034
244,91390,91390,19786,2384,6000,6000,120617,140359,10049,9119,15315,403,184,1380,7,19168
245,91401,91401,39285,4562,14933,14933,53882,82206,19499,20256,25134,2167,264,2085,46,39755
